Unnamed: 0,B2_3-2_Spleen_S12,B2_3-1_Spleen_S6,B2_3-5_Spleen_S24,B2_1-6_Spleen_S17,B2_1-3_Spleen_S42,B2_2-6_Spleen_S43,B2_2-4_Spleen_S34,B2_1-4_Spleen_S5,B2_2-2_Spleen_S23,B2_3-3_Spleen_S18,B2_1-5_Spleen_S11
ENSMUST00000241745.1,50.0,22.0,22.0,57.0,37.0,51.0,27.0,34.0,14.0,35.0,39.0
ENSMUST00000243145.1,150.0,101.0,129.0,104.0,79.0,93.0,104.0,199.0,64.0,85.0,109.0
ENSMUST00000139876.2,138.796,110.149,0.0,34.381,3.61,0.0,0.0,0.0,11.623,48.64,0.0
ENSMUST00000143997.2,33.418,2.116,96.456,123.85,74.844,12.216,121.568,88.134,54.758,19.956,56.089
ENSMUST00000141675.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000172126.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000212174.2,1.004,0.0,18.918,9.071,15.0,0.0,49.0,11.0,18.33,0.0,3.0
ENSMUST00000168003.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000162080.2,0.0,0.0,0.0,6.724,7.549,19.509,0.0,13.0,0.0,4.0,0.0
ENSMUST00000077482.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000140797.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000232375.2,1.0,0.0,2.0,0.997,13.0,0.0,0.0,5.043,9.139,9.0,0.0
ENSMUST00000164042.3,,,,,,,,,,,
ENSMUST00000176175.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000117148.2,583.164,65.856,1872.455,1521.32,929.392,210.077,1144.625,324.987,903.05,0.0,528.302
ENSMUST00000185005.2,2130.277,1011.993,2237.67,2322.202,1160.295,814.118,1170.596,2309.466,808.617,569.714,1679.986
ENSMUST00000077968.5,20.908,7.0,5.337,0.0,4.0,0.0,11.0,0.0,0.0,21.0,0.0
ENSMUST00000177706.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000218245.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000126971.8,0.0,0.0,2.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000245500.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000174283.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
